TCGA.S9.A6U1	TCGA.HT.7483	TCGA.VW.A7QS	TCGA.HT.A5RA	TCGA.DH.A66G	TCGA.P5.A5EX	TCGA.DH.A7UR	TCGA.HT.7604	TCGA.IK.8125	TCGA.HT.A61C	TCGA.HT.A74K	TCGA.DB.A4XD	TCGA.HT.7477	TCGA.S9.A6TX	TCGA.DB.A75K	TCGA.HT.A619	TCGA.FN.7833	TCGA.HT.8114
ENSG00000167925	1502	1118	3808	2298	1400	2816	2126	2690	2967	2464	2201	1213	1362	2578	6014	1941	2261	2540
ENSG00000167930	3807	2189	3161	4490	1504	3796	3284	2409	1971	5699	5442	2208	3173	3449	4074	1990	2559	3233
ENSG00000167941	0	2	3	3	1	0	0	0	1	28	1	3	1	0	0	1	0	0
ENSG00000167962	2186	1723	2879	2267	1252	2264	2968	2327	2055	2999	1873	1782	3747	2732	3401	2633	1812	2689
ENSG00000167964	178	177	181	367	325	71	820	195	736	264	656	93	185	578	463	215	217	346
ENSG00000167965	4034	3628	5322	3164	2655	3044	5619	5675	4217	4882	6602	2719	4352	4606	6283	5086	3806	5735
ENSG00000167967	1871	1315	2667	1943	1249	1703	2470	1952	1896	2389	1913	1416	2202	2378	3413	1704	1718	2591
ENSG00000167968	186	98	217	47	88	108	269	116	140	159	151	192	263	297	384	259	136	233
ENSG00000167969	2582	2061	3835	2587	1160	2793	2392	2728	2005	2093	3722	1687	2885	2789	2886	2312	2108	3323
ENSG00000167971	1928	1377	3033	714	2936	661	2882	1710	3998	544	593	1540	2054	3043	3552	2509	1701	1247
ENSG00000167972	14063	18774	16435	6216	15821	14301	15631	16758	16420	6851	13777	10083	13679	18528	19309	17762	8040	22488
ENSG00000167977	4325	3866	3707	4828	2177	2804	3635	4350	4298	4953	2333	3082	2812	3573	3421	3378	2946	6572
ENSG00000167978	46491	38060	42386	25606	43694	23749	34437	58335	44152	23360	14239	33810	46461	42805	59093	25998	38010	70484
ENSG00000167981	394	453	481	389	404	188	477	437	576	390	134	307	216	376	331	386	353	565
ENSG00000167984	356	226	331	392	212	293	457	283	344	204	229	253	268	221	206	280	244	512
ENSG00000167985	693	950	551	800	520	761	1153	879	914	1206	1130	505	836	572	967	638	831	1303
ENSG00000167986	24814	29497	20997	16626	18660	19362	16074	27142	25513	15791	13172	18171	22118	19182	17451	16427	24052	52557
ENSG00000167987	1336	1132	2225	1300	1324	1631	1755	1303	1640	1570	1041	1079	1336	1635	2011	1160	1347	2287
ENSG00000167992	624	652	1107	392	740	837	386	306	1068	597	961	618	628	1298	736	1139	1195	1587
ENSG00000167994	1830	1151	3563	374	803	1622	821	1378	1461	729	2009	1163	866	1932	3125	1019	2085	2535
ENSG00000167995	897	2550	7632	440	804	1356	896	486	2097	1075	1800	962	2058	4327	2459	563	1573	2584
ENSG00000167996	16241	15252	50759	15461	16383	68270	16033	13223	23107	28855	51077	12646	19628	33382	38065	7356	26638	45191
ENSG00000168000	352	455	416	307	645	452	581	536	720	992	327	646	493	357	502	285	265	771
ENSG00000168002	4280	5709	5102	4648	2399	3598	4564	4750	3569	6491	4596	2562	4039	3678	3481	3145	4091	7250
ENSG00000168003	12540	11705	41089	23563	7601	22525	14943	13169	14456	16835	16859	9202	18716	19134	28774	14325	13956	29870
ENSG00000168004	50	24	4	202	179	70	94	29	148	250	71	82	42	89	41	2	90	34
ENSG00000168005	1040	1081	1019	1189	788	640	1638	1017	1079	2558	1116	852	2043	1374	1497	912	828	1562
ENSG00000168010	1731	728	2121	641	1322	958	1383	1994	1461	1005	889	1262	1908	2352	3400	1507	1352	2672
ENSG00000168014	2142	1854	2106	2097	2231	1536	1943	3047	2673	2804	891	1759	2925	2026	2955	1601	2878	5449
ENSG00000168016	608	869	217	1021	875	847	666	424	1084	1037	250	280	597	670	914	584	1047	1007
ENSG00000168026	592	314	763	139	556	269	454	287	492	339	184	354	370	468	464	401	1028	1214
ENSG00000168028	27288	37221	18936	8915	16516	17778	28299	48339	35759	26756	42689	23441	32108	25111	24961	28149	21419	65796
ENSG00000168032	14	170	671	18	335	916	175	18	260	78	9	11	78	17	28	32	34	249
ENSG00000168036	25295	22782	13419	20598	17312	17989	18849	24440	25600	17563	9669	16559	20312	14717	15463	14073	23648	55498
ENSG00000168038	130	156	141	214	122	120	123	216	146	228	64	85	142	58	162	68	247	813
ENSG00000168040	377	337	471	530	301	370	371	355	291	622	472	252	605	420	534	300	284	522
ENSG00000168056	21044	11735	18922	14334	12836	20991	11506	15680	9617	10743	10052	13744	13440	22801	35556	9076	16722	32731
ENSG00000168060	54	77	44	66	42	129	171	58	63	178	126	48	100	67	145	73	105	173
ENSG00000168061	586	405	666	500	234	499	1211	555	562	1184	1852	327	1156	766	927	659	555	627
ENSG00000168062	172	141	244	910	224	397	343	121	249	506	208	145	250	533	4925	315	2818	823
ENSG00000168065	2	20	3	8	3	5	6	2	7	3	3	5	3	5	11	2	15	7
ENSG00000168066	17294	13108	19430	12986	12060	10304	22082	19910	16558	15141	11005	12342	19992	15269	23447	14812	15678	20446
ENSG00000168067	1481	1146	1025	1771	1220	916	2688	873	2079	1124	1104	923	1422	1843	1735	1054	1483	2035
ENSG00000168070	2	1	5	4	2	3	0	2	2	3	0	1	0	0	1	0	2	0
ENSG00000168071	1002	476	1091	757	683	1161	1218	841	791	1186	1901	724	859	1386	1559	326	1521	2563
ENSG00000168077	3953	7778	17223	14980	24245	51886	7755	4761	37295	9288	13010	6662	6787	17773	31318	1217	8685	20620
ENSG00000168078	661	673	131	2964	151	17	1195	1484	563	2642	404	149	5840	560	72	295	220	274
ENSG00000168079	5	257	434	132	27	22	29	5	1055	5	101	9	19	1201	18	17	2	2296
ENSG00000168081	3	2445	0	3	1234	41	177	1	640	70	0	13	32	1	274	21	8	360
ENSG00000168090	5560	5522	9138	7343	3918	6467	6566	10664	6097	12440	8499	3834	7211	7001	6815	7503	5713	9213
ENSG00000168092	8364	8965	8634	7225	7504	5602	6927	11229	9383	7714	5707	6932	5169	6328	5870	7348	7815	13279
ENSG00000168096	1375	804	2032	1546	841	1571	2454	1354	1195	1968	1994	957	3444	1784	2490	1515	1378	1600
ENSG00000168101	2081	1779	1952	3520	1159	2276	1966	2093	1897	2689	2419	1570	1920	2160	1891	1829	1947	3448
ENSG00000168116	700	870	809	425	667	247	612	781	1180	587	259	620	712	543	554	816	664	1162
ENSG00000168118	2871	2920	2396	2211	2330	2748	1911	3013	3809	2346	1068	4224	1858	2243	1705	1543	3832	8209
ENSG00000168122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000168124	13	12	8	0	8	2	1	32	6	16	0	0	3	5	1	0	8	14
ENSG00000168126	0	0	0	2	0	1	0	1	1	1	0	0	9	0	1	2	1	2
ENSG00000168129	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000168131	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
ENSG00000168135	311	810	37	39	1529	29	701	208	781	273	23	110	226	205	499	17	143	525
ENSG00000168137	19464	14320	15037	11351	11751	3578	11782	15265	15223	7366	4207	14589	14198	12775	15654	8418	11638	29178
ENSG00000168140	33	297	91	1415	360	408	402	33	178	1180	386	58	251	145	371	97	139	187
ENSG00000168143	0	0	4	1	4	0	0	0	0	0	0	0	3	0	0	0	8	0
ENSG00000168148	0	0	3	0	2	0	1	2	1	1	0	2	1	1	0	0	0	4
ENSG00000168152	573	686	408	449	260	284	635	753	584	545	102	502	400	374	405	298	490	798
ENSG00000168158	14	16	6	18	9	0	7	25	16	2	4	19	8	16	9	11	18	24
ENSG00000168159	10665	15374	30028	9026	8480	14865	16536	12937	15285	10759	19754	6964	9234	19168	15059	8450	11439	17034
ENSG00000168172	5425	5640	5280	3357	4066	2198	3065	11335	6626	2522	1845	4163	6160	3356	3331	5754	3703	7821
ENSG00000168175	6085	6889	9043	3572	6295	2844	5709	7561	5659	3658	2708	4144	6229	4592	5783	4152	5573	9629
ENSG00000168209	11350	1744	26615	8582	2975	3548	2016	6403	5337	4036	9145	16436	3706	13131	13004	4384	3643	13350
ENSG00000168214	13076	10550	8375	4912	4892	4671	7977	15686	9459	6600	7951	9398	16156	7434	5514	6376	10983	16033
ENSG00000168216	3696	4436	3017	4106	4092	6450	3300	4945	4977	2885	2249	3601	2903	3954	3455	3225	4529	11243
ENSG00000168228	445	467	618	482	323	407	362	414	522	525	128	362	925	411	403	273	455	828
ENSG00000168229	1	14	127	5	11	10	18	146	6	6	0	2	0	6	1	4	1	259
ENSG00000168234	362	422	1422	847	552	251	252	599	754	898	325	235	469	207	272	290	224	528
ENSG00000168237	404	569	378	145	364	148	1156	284	978	1064	180	193	294	573	515	258	282	1601
ENSG00000168243	4109	8573	9116	1260	4443	256	4549	8736	10223	8421	5737	3369	4604	7428	5604	6182	3293	5511
ENSG00000168246	2595	2189	1221	2228	1372	1013	2003	2238	2146	2706	656	2032	2477	1216	1053	2086	1861	2809
ENSG00000168255	210	101	274	204	99	95	107	153	288	207	146	70	174	136	313	369	227	203
ENSG00000168256	3458	3199	3688	3693	1885	1294	3382	2529	2589	5556	1962	2538	3832	2362	3221	2460	2447	4014
ENSG00000168259	4664	4766	4901	4325	3289	4187	4125	6670	6195	5786	4993	3678	4793	4625	4882	4281	5222	8127
ENSG00000168263	14	7	12	1	5	6	2	12	11	11	2	3	6	2	6	4	8	9
ENSG00000168264	5833	5463	15860	4917	7336	6263	6684	6635	8012	8258	4510	5958	7624	12544	10606	3938	7335	10830
ENSG00000168267	3	3	11	0	4	1	15	2	8	0	5	8	5	14	9	0	2	15
ENSG00000168268	4167	4832	3152	2354	1789	1299	3427	3960	3680	10027	4862	2174	4894	4504	2644	3403	1909	4260
ENSG00000168269	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ENSG00000168273	294	276	496	252	179	221	457	262	329	738	519	145	320	185	405	233	373	674
ENSG00000168275	520	654	775	830	415	790	739	607	974	1003	565	370	549	727	1043	495	729	981
ENSG00000168280	9885	16298	17853	2642	23111	10116	11101	5483	51906	8240	9346	8059	9223	14067	13852	21470	5351	14391
ENSG00000168282	161	102	172	110	85	94	120	117	106	102	41	109	191	175	160	119	99	209
ENSG00000168283	2871	3988	1865	1839	2332	2920	4298	4023	3196	1854	954	2463	3606	2178	1618	3578	3770	6151
ENSG00000168286	2100	2211	1863	1738	1131	1711	2170	2591	2148	2118	2010	1650	2174	2438	2580	2471	2538	3561
ENSG00000168288	2273	2539	3299	3004	1766	2538	2433	2830	3103	3032	1314	2088	2524	2114	2584	2045	2801	4664
ENSG00000168291	4898	4633	4422	1963	3415	3112	4626	4354	6023	3684	2962	2890	3373	3829	4339	2303	3901	7675
ENSG00000168297	2523	2606	2815	658	1607	1607	1257	1962	3238	1453	1101	1887	1663	3710	2373	1514	2426	3631
ENSG00000168298	6	2	2	5	0	7	9	4	2	13	7	5	27	5	11	3	6	5
ENSG00000168300	2501	2439	2284	1362	2340	2131	2000	3281	3195	868	857	2481	3184	2233	1785	2733	2762	5407
ENSG00000168301	1519	1722	1283	491	1334	649	846	1953	1344	760	404	1334	797	1077	1034	489	1827	2936
ENSG00000168303	1356	967	1417	1043	685	768	1374	1031	1232	1920	994	718	1568	1133	1056	1846	876	1487
ENSG00000168306	544	360	195	907	713	194	261	647	541	270	111	535	102	211	287	34	608	1097
ENSG00000168309	23057	41847	31766	27554	38955	131298	36026	31491	87235	23346	56077	21596	14342	61437	83861	2178	79704	75948
ENSG00000168310	1721	1555	1171	2452	1225	1982	1250	1960	1680	1284	687	1582	3371	2156	2686	977	3089	3430
ENSG00000168314	14267	477	2	17	171	144	1778	1998	1963	5028	8315	8348	3235	20227	9902	6	4417	119
ENSG00000168329	5681	8563	19	1498	2584	5595	787	5390	6013	1629	220	1375	2691	695	1112	39	9008	11984
ENSG00000168333	0	1	141	42	0	57	0	1	4	2	12	0	6	1	6	0	8	3
ENSG00000168334	13	296	681	25	125	55	6	7	15	61	21	6	36	4	393	5	239	27
ENSG00000168348	3	20	106	0	54	1	485	98	153	5	32	17	9	148	468	71	12	26
ENSG00000168350	266	426	81	51	119	131	334	85	345	39	83	97	194	308	225	45	216	329
ENSG00000168356	60	90	72	6	60	28	32	70	85	10	21	61	52	24	30	9	44	136
ENSG00000168367	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0
ENSG00000168374	7165	10005	9290	6406	5960	8364	6759	9758	8445	14687	3828	5140	8081	5201	5590	4255	7551	13178
ENSG00000168385	54439	66295	41623	58494	31172	34555	29483	70062	59360	40996	20420	42646	50300	39602	34824	46311	47281	93626
ENSG00000168386	325	1493	496	1377	3962	2545	340	552	624	2044	543	444	946	933	406	347	897	2316
ENSG00000168389	3288	3231	2159	5405	2061	2965	7403	2483	3815	2146	3083	2341	4048	5262	4983	4737	3249	6267
ENSG00000168393	1253	1018	1980	2560	802	998	1627	1698	1151	5738	2143	834	3863	1152	1699	1383	1158	1843
ENSG00000168394	2373	2387	5239	11306	2563	6127	2426	3424	2289	8627	2001	1303	4965	4288	17144	2544	16351	9510
ENSG00000168395	2382	1409	4197	1559	1810	995	3020	2290	2650	2583	2318	1839	2838	3185	4714	2931	2085	3849
ENSG00000168397	4629	3552	6697	3984	3570	2899	4960	4297	4012	6736	4529	3248	4983	5024	7313	3915	3878	5979
ENSG00000168398	8	140	50	478	530	440	39	7	78	135	115	2	88	14	36	14	43	250
ENSG00000168404	146	123	89	318	192	223	154	72	165	273	172	95	184	202	564	127	261	455
ENSG00000168405	45	92	51	474	217	253	253	66	152	125	56	38	144	188	122	94	223	398
ENSG00000168411	1532	1640	1292	2026	837	741	1805	1970	1711	2964	608	911	3764	798	1149	1424	1325	1821
ENSG00000168412	1	3	0	4	10	0	0	1	10	4	0	0	0	3	0	0	0	1
ENSG00000168418	0	49	9	97	9	4	6	1	53	14	87	13	0	26	3	21	20	9
ENSG00000168421	50	38	35	133	132	111	16	27	33	120	36	31	34	39	143	6	97	329
ENSG00000168427	4	21	5	5	8	4	11	4	14	11	8	5	7	9	14	2	10	12
ENSG00000168434	1451	1485	1731	1494	1052	1366	1316	1283	1830	1675	1073	962	1076	1479	1792	1336	1631	1762
ENSG00000168438	1165	1408	1173	949	1289	786	1118	1592	1666	807	251	1056	1299	1035	1163	972	1370	2467
ENSG00000168439	7161	8224	11419	6954	5129	7993	11119	8492	7796	11073	7111	4537	12604	11210	8762	5732	5254	7418
ENSG00000168447	12	0	27	181	68	11	2	1	15	36	2	5	6	0	5	0	6	7
ENSG00000168453	2594	1616	3618	368	2041	866	2380	1953	3653	6556	3266	930	1969	3070	3119	1165	602	1864
ENSG00000168454	14	25	36	35	14	10	18	19	55	52	27	22	15	19	42	17	12	60
ENSG00000168461	22564	33148	41742	24299	14151	15545	18721	27136	70386	51349	14620	21610	20747	22203	46542	48862	23583	54796
ENSG00000168476	640	357	641	1075	384	806	612	495	376	1429	671	361	2436	687	895	188	907	1274
ENSG00000168477	1377	1546	1170	4607	964	1355	1580	1946	1420	550	180	668	1236	952	1034	250	1395	2362
ENSG00000168481	3543	959	1383	31	2875	107	1590	1012	2998	1992	6030	1267	1344	6096	4589	593	828	1225
ENSG00000168484	132	27	144	7	51	2	70	57	87	102	367	62	30	159	251	68	48	111
ENSG00000168487	2047	1186	2132	3838	1451	1112	1225	1676	1785	2788	1647	1376	3396	1807	2412	1295	1376	2669
ENSG00000168488	8691	6965	16778	6216	6454	4602	10361	7208	8160	7010	4099	5836	8811	12246	11930	7022	6603	10051
ENSG00000168490	673	2487	2571	155	12551	1954	6127	791	9099	1813	1987	398	2546	1806	1942	347	969	3479
ENSG00000168491	23	39	46	71	45	51	15	30	60	4	14	18	8	38	5	9	29	48
ENSG00000168495	2013	1830	2345	1395	1332	1050	1784	2343	3402	2437	1591	1672	4258	2351	2202	3330	1145	2387
ENSG00000168496	1460	1695	1463	2505	923	900	3578	2379	2133	5407	3143	828	4959	1459	2040	2247	1468	1581
ENSG00000168497	4530	682	760	906	1568	236	981	1134	1450	603	492	1144	3060	4166	2990	1191	405	3161
ENSG00000168502	908	1425	976	899	1141	98	1068	1186	1571	935	316	749	798	602	752	901	293	837
ENSG00000168505	290	483	1	488	1004	577	2	778	212	997	128	446	367	323	97	232	493	574
ENSG00000168509	1	10	6	1	2	2	18	1	4	1	1	2	5	4	6	4	6	7
ENSG00000168515	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000168517	230	175	261	157	150	116	390	193	323	233	298	160	201	333	443	301	161	358
ENSG00000168522	3478	3247	3055	3667	2120	3327	2464	8347	3393	3511	2456	2666	3284	2801	2405	2686	3148	5724
ENSG00000168528	509	192	305	353	504	134	100	373	58	2048	109	48	137	63	256	79	117	549
ENSG00000168530	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000168538	2453	2847	2991	2194	1971	2099	2415	2915	3185	2246	672	2275	1787	1992	1947	2623	2338	5067
ENSG00000168539	123	680	363	2	1908	51	763	233	1650	368	401	51	381	459	1758	216	203	644
ENSG00000168542	623	3897	6795	10294	1378	8847	2968	409	1060	9965	1577	765	2703	844	1298	2839	2839	18482
ENSG00000168546	266	535	180	42	1413	96	424	727	701	878	370	284	779	189	241	117	1122	7738
ENSG00000168556	592	405	698	720	364	412	386	774	491	746	1156	650	575	1240	541	794	460	1131
ENSG00000168564	1550	1737	1799	1941	995	1471	1781	2419	1941	1284	611	1381	1664	1528	1373	1505	2051	3094
ENSG00000168566	798	611	818	524	443	534	668	1224	956	618	226	738	1276	923	697	961	697	1903
ENSG00000168569	845	740	1196	710	564	1163	1011	876	1031	913	1365	505	815	802	1055	888	707	1230
ENSG00000168575	6388	7809	4105	14132	10633	5468	4305	23948	7800	3192	4424	6180	6558	6004	7137	2874	10832	30908
ENSG00000168582	10	10	8	3	6	0	9	1	2	101	7	0	10	7	6	20	9	13
ENSG00000168589	61	58	25	119	48	134	38	104	70	70	48	49	40	14	29	7	127	206
ENSG00000168591	2485	2432	2795	2788	2511	2238	2966	2542	2868	2961	1746	1755	2231	2425	3473	2441	2786	5051
ENSG00000168594	12	22	23	3	36	0	2	49	85	1	38	20	6	37	30	67	38	58
ENSG00000168610	11349	11798	18347	14750	13272	12010	6321	12873	10702	10327	4711	7724	8805	8213	15458	6048	15832	21485
ENSG00000168612	938	736	1099	613	827	482	1103	917	912	680	786	804	1049	1073	1226	814	992	1399
ENSG00000168615	5734	10007	4925	9850	8485	6181	2971	20799	6763	3841	1276	4666	7884	4418	4648	3285	6029	19964
ENSG00000168619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000168621	173	286	513	11	73	16	624	241	345	427	246	179	280	382	329	221	203	188
ENSG00000168630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000168631	0	0	1	4	0	1	4	2	5	11	3	2	1	1	1	0	1	1
ENSG00000168634	3	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3
ENSG00000168646	1433	1211	907	1254	676	557	1197	1116	1254	1081	370	1031	841	1421	873	712	1086	1861
ENSG00000168653	5061	5923	4296	4008	3436	3112	6163	6680	5049	5571	6570	3177	4996	4523	4850	2041	4349	9011
ENSG00000168658	86	94	77	405	86	96	79	91	86	88	35	104	56	43	91	16	150	116
ENSG00000168661	435	517	308	488	232	166	353	529	409	426	163	455	405	246	188	369	414	710
ENSG00000168671	2	11	26	140	1	6	2	0	3	0	1	1	1	1	0	0	1	27
ENSG00000168672	9948	5978	16123	2569	1515	1936	6622	30432	6928	1336	4142	14284	7101	14338	7429	24278	9046	14076
ENSG00000168675	4976	6339	1311	4171	6076	1262	1455	5922	7084	2677	1559	8594	3077	3261	3533	1094	7873	11464
ENSG00000168676	25	13	4	38	20	2	7	25	7	9	10	3	141	8	5	0	6	15
ENSG00000168679	308	405	196	2889	1590	569	364	781	432	872	153	754	576	357	267	288	1044	1392
ENSG00000168685	43	84	11	78	207	73	48	42	118	108	5	15	40	23	55	38	114	417
ENSG00000168701	1149	1529	2640	1847	1040	2428	2590	1751	2117	4001	3359	945	2031	1579	2634	1528	1397	2363
ENSG00000168702	4062	6992	3625	426	4308	2772	952	8242	7788	429	605	5750	3061	2621	2470	2464	4018	13040
ENSG00000168703	1	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1
ENSG00000168710	45665	71164	21567	26749	36999	23280	6890	38841	32792	7500	7617	52657	9819	23926	26447	5171	108845	221491
ENSG00000168724	1300	1544	1062	993	1428	1755	1305	1372	1878	1377	545	1034	1783	1540	1200	1356	1216	2170
ENSG00000168734	2938	4042	2535	10637	3654	3665	2871	3682	3001	4214	2927	2202	3424	2336	3291	2196	4477	8184
ENSG00000168743	324	2743	1469	2592	1038	1019	338	143	829	2674	1010	68	617	1001	796	190	141	1599
ENSG00000168746	3	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0
ENSG00000168748	4	108	10	34	193	4	82	6	124	22	1	3	42	6	21	6	2	75
ENSG00000168754	123	12	5	50	29	37	42	23	36	179	182	61	42	326	116	6	25	11
ENSG00000168757	0	1	0	0	0	0	0	0	1	0	0	0	5	9	0	0	3	1
ENSG00000168758	3381	2337	2258	2094	2716	1928	3415	2947	3222	5235	2468	2313	3525	4051	4273	2517	2201	4690
ENSG00000168763	1887	1361	1318	1710	1312	1315	2102	2098	2674	1499	1052	1333	2352	1842	3185	2209	1997	3034
ENSG00000168765	2012	2261	1337	1830	1212	835	920	2424	1531	1323	859	1177	1272	1792	1810	301	1703	2594
ENSG00000168769	3658	3488	2246	1698	1846	811	2027	4057	2890	1084	489	3355	2042	1678	1776	2305	2920	5106
ENSG00000168772	3319	3314	1919	607	1559	499	2891	4322	3801	1171	1302	3583	2882	3211	2518	6491	2889	4918
ENSG00000168778	855	610	851	1109	971	1550	607	994	789	900	431	554	804	621	727	307	1502	1595
ENSG00000168779	8	1	1	486	4	24	1	14	13	232	16	0	72	4	7	3	4	4
ENSG00000168781	594	664	1268	358	1274	1022	1123	878	1392	655	355	488	583	782	877	489	719	1224
ENSG00000168785	4784	6368	3557	6111	4903	5759	5301	6459	7208	3857	2292	3558	2906	4559	4951	4015	4904	8524
ENSG00000168792	513	560	234	1287	514	748	328	646	380	486	215	320	475	439	505	180	762	1606
ENSG00000168795	2635	2158	1990	1018	2014	779	1363	2647	2311	1754	689	2212	2353	1557	1817	1604	2360	4110
ENSG00000168802	3435	4275	2836	4218	2471	2854	3441	4967	3821	4259	1602	2619	3886	2709	3413	2954	3768	7793
ENSG00000168803	588	737	1324	970	666	552	925	783	1196	1060	405	475	891	1010	611	306	779	1364
ENSG00000168806	1211	1058	1127	918	626	803	1237	1357	1171	1509	457	709	1076	741	890	580	1104	1110
ENSG00000168807	970	1197	1003	2017	1805	1827	1042	1292	1437	995	331	846	1673	700	799	1051	1164	2315
ENSG00000168811	115	84	58	27	170	61	128	199	192	131	27	182	171	62	196	41	219	109
ENSG00000168813	2051	1928	983	1163	1243	483	976	2555	1473	1114	479	1819	2156	958	747	1125	1826	3344
ENSG00000168818	1926	1622	1673	1820	1024	1270	1713	2150	1782	2019	1170	1602	2672	1276	1900	875	2154	3613
ENSG00000168824	389	1869	529	1467	3217	304	2940	687	4470	2645	1750	379	409	1476	2399	1230	274	3374
ENSG00000168826	400	233	534	337	215	237	470	284	332	526	200	258	551	281	507	264	344	519
ENSG00000168827	3229	4164	4500	1864	3103	2845	2580	3625	5925	2328	1113	2464	2265	3070	2451	3465	2887	6292
ENSG00000168828	15	8	15	3	6	11	2	5	10	8	3	2	5	3	3	0	5	5
ENSG00000168830	1	37	1	0	77	1	41	3	74	8	0	0	21	0	3	2	1	18
ENSG00000168843	1029	736	3	4	736	52	306	1445	2471	20	309	1189	92	163	199	14	787	3831
ENSG00000168852	74	59	53	39	28	40	72	31	84	29	29	17	52	46	34	46	24	92
ENSG00000168872	3410	3530	3153	3052	2423	2450	2873	3703	3156	3080	1840	2235	3355	2896	3394	2159	3375	5750
ENSG00000168874	3006	1188	6176	116	996	3387	15787	4423	6667	2400	8535	5311	1227	10799	24238	4683	1998	6358
ENSG00000168875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000168876	477	544	579	444	344	419	587	697	709	415	196	463	556	448	416	588	575	1126
ENSG00000168878	2	0	3	4	5	0	3	3	11	2	1	1	1	1	1	2	1	18
ENSG00000168883	3009	3872	3641	3675	2239	2256	3525	3516	3442	4042	1971	2561	3410	3030	2538	3134	2969	5298
ENSG00000168884	2473	1839	2286	1625	1498	1771	1046	3610	1354	1676	1979	1884	2777	2437	3461	802	1759	3619
ENSG00000168887	2670	1994	1959	1484	1365	755	2760	2000	2356	2090	1264	1507	1986	1887	2680	1985	1884	3294
ENSG00000168890	870	746	1166	1170	631	887	751	839	720	1020	718	746	604	1082	1096	750	801	1732
ENSG00000168894	1592	2017	3598	2515	1505	3150	2541	1978	2385	3011	5189	1294	1638	2228	2942	1425	2296	4119
ENSG00000168899	664	967	856	2728	1189	2764	1296	670	961	2313	2132	491	643	1244	2522	441	3511	2754
ENSG00000168903	2	1	2	9	1	7	9	0	4	0	7	3	2	14	1	0	0	1
ENSG00000168904	625	742	705	763	829	970	844	796	1162	840	348	662	663	662	666	474	859	1677
ENSG00000168906	19914	14062	45325	17361	16233	6707	12594	17521	20906	10403	2623	24411	12106	15254	17605	14680	36141	74674
ENSG00000168907	0	0	8	4	2	0	1	0	1	1	0	0	0	1	0	0	3	0
ENSG00000168913	4464	5567	6266	1014	4042	8623	4545	8236	17400	2500	7540	4828	4141	10989	19311	6177	11507	15257
ENSG00000168916	3142	2611	2349	3202	3437	1184	1123	3967	3918	1660	910	2936	4677	3413	2834	5893	3130	4699
ENSG00000168917	228	533	75	1154	793	901	342	298	815	981	196	386	974	343	240	111	849	572
ENSG00000168918	2738	1683	442	1921	2110	1989	1190	1647	2242	2198	744	1442	1882	1806	2021	594	4169	6853
ENSG00000168924	4908	3616	4935	3931	2939	1779	4399	4752	3593	3856	2182	3260	8206	4036	4589	2099	3455	4919
ENSG00000168925	6	1	2	3	3	4	2	12	5	0	1	1	5	0	1	0	0	14
ENSG00000168928	6	10	4	2	2	3	4	27	3	11	13	2	7	1	2	3	4	11
ENSG00000168930	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000168936	5050	4128	4919	8733	2685	5263	4826	4663	4757	5535	3711	3641	8375	5807	6164	2137	4925	8906
ENSG00000168938	296	362	470	3214	159	608	393	138	439	420	307	170	327	199	249	213	161	603
ENSG00000168939	268	263	440	312	285	117	349	374	796	384	158	217	237	637	275	747	185	370
ENSG00000168944	899	1118	1123	1157	913	1064	1321	1288	1764	1333	320	887	1018	899	713	1155	1154	2383
ENSG00000168952	846	1536	699	442	2169	109	1482	943	3044	256	425	384	669	995	438	1408	306	1478
ENSG00000168955	11	31	9	0	3	10	5	7	16	5	5	14	15	7	2	29	9	11
ENSG00000168958	8503	8357	8675	5490	4359	8058	5439	11303	10248	5624	4595	6461	6362	7274	4796	11456	6923	15050
ENSG00000168959	38	496	17	76	1084	4	68	163	1809	32	7	26	93	360	114	200	20	220
ENSG00000168961	2424	1007	542	1383	954	2821	855	1148	1118	4274	1701	1221	2241	1223	6531	190	9171	5663
ENSG00000168967	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000168970	540	164	1026	256	508	144	688	282	791	235	35	407	841	873	1039	356	569	596
ENSG00000168992	16	17	1	17	20	9	5	3	7	11	10	16	12	4	9	33	29	39
ENSG00000168993	1020	2354	13534	85	4617	92	3321	909	4147	901	2678	643	1067	5004	4791	2159	460	1822
